"If you know any servers that arent on this list you can msg me on discord @cyg#0692 or reply to the TFTV thread Last updated: 12/20/23 Name TF2Center","This list was built on top of Bilbert's outdated pug list Link  https://tf2center.com/","Status Active","Thanks to Bilbert, Czarchasm, Sagejay, Rahmed, Heks, Zoro, Maxx, Frydog, DolphiN, and Shr Date Founded ?/?/2013","Game Modes 6s, HL, Ultiduo","Region NA/EU","TFTV thread: https://www.teamfortress.tv/63226/the-definitive-list-of-tf2-pug-servers#1 Notes ","RGL thread: https://forums.rgl.gg/topic/3146/the-definitive-list-of-tf2-pug-servers Frequency (estimate) Runs Multiple Times Daily","","","","","","","","",""
"TF2 Coaching Central (TF2CC)","https://discord.gg/ybSYAd9","Active","6/30/2020","6s","NA","","Runs Multiple Times Daily","","","","","","","","",""
"Cheese Touch Pugs","https://discord.gg/qfTpp7x9Tb","Active","5/6/2023","6s","NA","My pug server :) (since transferred ownership)","Runs Daily","","","","","","","","",""
"PugHub","https://discord.gg/uwhVyzHmK7","Active","10/23/2021","6s","NA","","Runs Multiple Times Daily","","","","","","","","",""
"tf2pugs.com","https://discord.gg/GNAp64CsZY","Active","10/24/2022","6s, Ultiduo","NA","","Runs Multiple Times Daily","","","","","","","","",""
"RGL Pugs Alpha","https://pugs.tf.plus/pug","Active","2/28/2023","6s","NA","Web based","Runs Daily?","","","","","","","","",""
"RGL Discord Pugs","https://discord.gg/rgl-gg-official-discord-137337002113761281","Active","","HL","NA","","Runs Every Couple Days","","","","","","","","",""
"Half This Pugs","https://discord.gg/vBh5yMmNnM","Active","5/23/19","6s","NA","","Runs Every Couple Days","","","","","","","","",""
"All Pugs","https://discord.gg/CQdSfpTdqv","Inactive","11/18/2022","6s","NA","Allows RGL banned players","","","","","","","","","",""
"Pugs That Are Cozy and Comfy","???","Inactive?","4/21/2023","HL","NA","If you have the link message me.","???","","","","","","","","",""
"hl.tf2pickup.us","hl.tf2pickup.us","Active","","HL","NA","","Runs Once a week","","","","","","","","",""
"4s Passtime League","https://discord.gg/QNYUBC3RdQ","Inactive","5/1/23","Passtime","NA","owned by weeabruh","","","","","","","","","",""
"4v4 Pass Time","https://discord.gg/zzn566n7M6","Active","7/25/2018","4v4 PASS Time","NA","","Runs Multiple Times Daily","","","","","","","","",""
"Ultitrio","https://discord.gg/RsCP2Hu3gZ","Active","4/3/2022","Ultitrio","NA","","Runs Daily","","","","","","","","",""
"NA Bball","https://discord.gg/zhZmZsBwB8","Active","10/18/2022","Bball","NA","owned by thesmoke","Runs Weekly","","","","","","","","",""
"One Time Pugs","https://discord.gg/PXbQnYYfep","Inactive","11/18/2022","6s","NA ","Allows RGL banned players","","","","","","","","","",""
"Tf2 Newbie Mixes","https://discord.gg/yfdKQPUkFa","Active","","6s","NA","Great spot for new players","Runs Weekly","","","","","","","","",""
"Andrew Gonzalez Pugs","https://discord.gg/FHTRR56bCa","Inactive","3/14/2022","HL","NA","NC-Main, newbie friendly","","","","","","","","","",""
"Refugee Pugs","Invite Only","Active?","8/1/2022","","NA","Runs midnight-6am; have to be Asian; run by Sagejay","???","","","","","","","","",""
"Cope City","Invite Only(o_oli#5709)","Inactive","5/4/2021","6s","NA","originally Funnyman pugs until youngman+raven nuked the server; possibly deleted?","???","","","","","","","","",""
"Good Shooting! Pugs","Invite Only","Active","","6s","NA","","Almost Daily?","","","","","","","","",""
"Village pugs","Invite Only","Active","08/21/2020","6s","NA","","???","","","","","","","","",""
"Drift pugs","Invite Only","Inactive","","???","NA","owned by Jamillia; as of 7/25/23 they have not played since their ban","Runs Semiweekly?","","","","","","","","",""
"Pottsfield Chamber of Commerce","https://discord.gg/fTYeZpq53r","Active","10/18/2021","HL","NA","","Runs once every couple weeks","","","","","","","","",""
":3 Pugs V2","Invite Only","Inactive","5/25/2023","","NA","","","","","","","","","","",""
"Resonance Pugs","Invite Only","Inactive","","","NA","Ran LoL and TF2 Pugs ","","","","","","","","","",""
"hl.tf2pickup.eu","https://hl.tf2pickup.eu/","Active","2/1/2013","HL","EU","6s coming soon","Runs Almost Weekly","","","","","","","","",""
"tf2pickup.de","https://tf2pickup.de/","Active","","6s","EU (Germany)","","Runs Every Two Weeks","","","","","","","","",""
"tf2pickup.eu","tf2pickup.eu","Active","","6s","EU","","Runs Multiple Times Daily","","","","","","","","",""
"tf2pickup.cz","https://tf2pickup.cz/","Active","","6s","EU (Czechia)","","Runs Every Two Weeks","","","","","","","","",""
"tf2pickup.fi","https://tf2pickup.fi/","Active","","6s","EU (Finland)","","Runs Weekly","","","","","","","","",""
"bball.tf2pickup.eu","https://bball.tf2pickup.eu/","Active","","Bball","EU","","Runs Semi Monthly","","","","","","","","",""
"rahmixes","https://discord.com/invite/QBPWazm6mv","Inactive","8/18/2021","6s, Ultiduo, Bball","EU","Will remain as a backup incase tf2pickups goes down","","","","","","","","","",""
"tf2pickup.es","https://tf2pickup.es/","Inactive","","6s","EU (Spain)","","","","","","","","","","",""
"MNA","https://discord.gg/zg9j4T5XtN","Active","4/23/2021","6s","SA","","Runs Monthly","","","","","","","","",""
"br.tf2pickup.org","https://discord.com/invite/ZPNgmzzMvh","Active","","6s","SA","Web based, previously the BGA discord server.","Runs Monthly","","","","","","","","",""
"Noob Pugs","https://discord.gg/GfzhwaDct9","Active???","6/7/2021","6s","Australia","Msg me with correct link if you have it","???","","","","","","","","",""
"Bakes Organized Pugs","https://discord.gg/75QTSEnBek","Active","10/24/2021","HL","Australia","Newbie friendly","Runs Almost Once a Week","","","","","","","","",""
"Seal Pugs AU/NZ","https://discord.gg/xr3RmGBjVS","Active","9/18/2022","6s","Australia","main/inter focused","Runs Monthly","","","","","","","","",""
"ETF2L Sia","Private mix","???","","6s","EU","Sias server, open-mid","","","","","","","","","",""
"Perthindies","https://discord.gg/6S6vUT7NVP","Active","11/15/2022","6s, 4s, Ultiduo","Western Australia","Newbie friendly, Smash bros, Super Auto Pets","Runs Monthly","","","","","","","","",""
"Masif Pugs","Invite Only (le0#0001)","Active","3/26/2023","6s","Australia","","Runs Daily???","","","","","","","","",""
